"","long","lat","cluster"
"1",-73.8450099382979,40.7096121170213,"Queen"
"2",-73.923815272549,40.8318370882353,"Upper Manhattan"
"3",-73.9278715929577,40.6841852028169,"Queen-Brooklyn"
"4",-73.954790286076,40.7660398025317,"Middle Manhattan"
"5",-73.8702960619047,40.8636436428571,"Bronx"
"6",-73.9836823686567,40.6264552298507,"Brooklyn"
"7",-73.9958321417582,40.7195392681319,"Lower Manhattan"
"8",-73.7964997363636,40.5927844818182,"Rockaway Beach"
